"RO-NO...
","BOOKED.
DATE","CLOSED.
DATE","DT
","TECH...
NO","LN
","SEQ
NO","M
","HT
","SC
","LBR..
TYPE","PAY.
TYPE","ACTUAL.
HOURS","SOLD...
HOURS","SOLD......
AMOUNT","LABOR.....
COST","OP-CODE...
","DESCRIPTION..
",
170263, 10MAY21, 10MAY21, S1,99999,  F,7,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170264, 03MAY21, 03MAY21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170270, 10MAY21, 11MAY21, S1,99999,  D,5,  , ST,   , ISM  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170270, 11MAY21, 11MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170273, 03MAY21, 29MAY21, S1,99999,  A,7,  , ST,   , CLIFE,  ROP,0,0,849,424.5, SLOES     , SALE OF EXECU,"        "
,,,,,,,,,,,,,,,,,,
170276, 03MAY21, 04MAY21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
170280, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170280, 06MAY21, 06MAY21, S1,99999,  H,9,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
170280, 06MAY21, 06MAY21, S1,99999,  I,10,  , ST,   , ISM  ,  ROP,0,0,0,0, WRE21     , WRE21 ECM/CID,"        "
,,,,,,,,,,,,,,,,,,
170281, 06MAY21, 06MAY21, S1,99999,  C,3,  , ST,   , CSX  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
170282, 26MAY21, 26MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CAR WAS SOLD ,"        "
,,,,,,,,,,,,,,,,,,
170284, 26MAY21, 26MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CAR WAS SOLDF,"        "
,,,,,,,,,,,,,,,,,,
170291, 11MAY21, 11MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170291, 11MAY21, 11MAY21, S1,99999,  C,4,  , ST,   , ISM  ,  ROP,0,0,0,0, TSK       , PLEASE INSTAL,"        "
,,,,,,,,,,,,,,,,,,
170291, 11MAY21, 11MAY21, S1,99999,  D,5,  , ST,   , ISM  ,  ROP,0,0,0,0, WHOLESALE , WHOLESALING V,"        "
,,,,,,,,,,,,,,,,,,
170300, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170302, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170303, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170304, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170305, 06MAY21, 06MAY21, S1,99999,  F,7,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170305, 06MAY21, 06MAY21, S1,99999,  G,10,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
170306, 13MAY21, 13MAY21, S1,99999,  K,13,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170307, 07MAY21, 07MAY21, S1,99999,  J,11,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170308, 04MAY21, 29MAY21, S1,99999,  F,6,  , ST,   , WS4  ,  ROP,0,0,100,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170309, 11MAY21, 11MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
170311, 04MAY21, 05MAY21, S1,99999,  D,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170316, 05MAY21, 05MAY21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170318, 04MAY21, 04MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170324, 04MAY21, 04MAY21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
170327, 04MAY21, 05MAY21, S1,99999,  E,5,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
170333, 05MAY21, 27MAY21, S1,99999,  F,6,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170334, 13MAY21, 13MAY21, S1,99999,  J,11,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170335, 05MAY21, 05MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, DUEBILL   , PLEASE PERFOR,"        "
,,,,,,,,,,,,,,,,,,
170336, 05MAY21, 05MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, DUEBILL   , PLEASE PERFOR,"        "
,,,,,,,,,,,,,,,,,,
170337, 05MAY21, 05MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, DUEBILL   , PLEASE PERFOR,"        "
,,,,,,,,,,,,,,,,,,
170339, 05MAY21, 05MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,75,0, DEFAULT   , ZAPPED LINE  ,"        "
,,,,,,,,,,,,,,,,,,
170341, 20MAY21, 20MAY21, S1,99999,  H,10,  , ST,   , ISD  ,  ROP,0,0,112.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170343, 04MAY21, 05MAY21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170345, 13MAY21, 13MAY21, S1,99999,  K,12,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170354, 08MAY21, 11MAY21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
